x,y,z
190.0,-2100.0,0.0
190.0,-2089.9941141848144,0.0
190.0,-2079.9882283696293,0.0
190.0,-2069.9823425544437,0.0
190.0,-2059.9764567392585,0.0
190.0,-2049.970570924073,0.0
190.0,-2039.9646851088876,0.0
190.0,-2029.9587992937022,0.0
190.0,-2019.9529134785168,0.0
190.0,-2009.9470276633315,0.0
190.0,-1999.941141848146,0.0
190.0,-1989.9352560329605,0.0
190.0,-1979.9293702177752,0.0
190.0,-1969.9234844025898,0.0
190.0,-1959.9175985874044,0.0
190.0,-1949.911712772219,0.0
190.0,-1939.9058269570335,0.0
190.0,-1929.899941141848,0.0
190.0,-1919.8940553266627,0.0
190.0,-1909.8881695114774,0.0
190.0,-1899.882283696292,0.0
190.0,-1889.8763978811066,0.0
190.0,-1879.870512065921,0.0
190.0,-1869.8646262507357,0.0
190.0,-1859.8587404355503,0.0
190.0,-1849.852854620365,0.0
190.0,-1839.8469688051796,0.0
190.0,-1829.841082989994,0.0
190.0,-1819.8351971748089,0.0
190.0,-1809.8293113596233,0.0
190.0,-1799.823425544438,0.0
190.0,-1789.8175397292525,0.0
190.0,-1779.8116539140672,0.0
190.0,-1769.8057680988818,0.0
190.0,-1759.7998822836962,0.0
190.0,-1749.7939964685108,0.0
190.0,-1739.7881106533255,0.0
190.0,-1729.78222483814,0.0
190.0,-1719.7763390229547,0.0
190.0,-1709.7704532077694,0.0
190.0,-1699.764567392584,0.0
190.0,-1689.7586815773984,0.0
190.0,-1679.752795762213,0.0
190.0,-1669.7469099470277,0.0
190.0,-1659.7410241318423,0.0
190.0,-1649.735138316657,0.0
190.0,-1639.7292525014714,0.0
190.0,-1629.7233666862862,0.0
190.0,-1619.7174808711006,0.0
190.0,-1609.7115950559153,0.0
190.0,-1599.70570924073,0.0
190.0,-1589.6998234255445,0.0
190.0,-1579.6939376103592,0.0
190.0,-1569.6880517951736,0.0
190.0,-1559.6821659799882,0.0
190.0,-1549.6762801648028,0.0
190.0,-1539.6703943496175,0.0
190.0,-1529.6645085344321,0.0
190.0,-1519.6586227192465,0.0
190.0,-1509.6527369040614,0.0
190.0,-1499.6468510888758,0.0
190.0,-1489.6409652736904,0.0
190.0,-1479.635079458505,0.0
190.0,-1469.6291936433197,0.0
190.0,-1459.6233078281343,0.0
190.0,-1449.6174220129487,0.0
190.0,-1439.6115361977636,0.0
190.0,-1429.605650382578,0.0
190.0,-1419.5997645673926,0.0
190.0,-1409.5938787522073,0.0
190.0,-1399.5879929370217,0.0
190.0,-1389.5821071218365,0.0
190.0,-1379.576221306651,0.0
190.0,-1369.5703354914656,0.0
190.0,-1359.5644496762802,0.0
190.0,-1349.5585638610949,0.0
190.0,-1339.5526780459095,0.0
190.0,-1329.546792230724,0.0
190.0,-1319.5409064155388,0.0
190.0,-1309.5350206003532,0.0
190.0,-1299.5291347851678,0.0
190.0,-1289.5232489699824,0.0
190.0,-1279.5173631547968,0.0
190.0,-1269.5114773396117,0.0
190.0,-1259.505591524426,0.0
190.0,-1249.4997057092407,0.0
190.0,-1239.4938198940554,0.0
190.0,-1229.48793407887,0.0
190.0,-1219.4820482636846,0.0
190.0,-1209.476162448499,0.0
190.0,-1199.470276633314,0.0
190.0,-1189.4643908181283,0.0
190.0,-1179.458505002943,0.0
190.0,-1169.4526191877576,0.0
190.0,-1159.4467333725722,0.0
190.0,-1149.4408475573869,0.0
190.0,-1139.4349617422013,0.0
190.0,-1129.4290759270161,0.0
190.0,-1119.4231901118305,0.0
190.0,-1109.4173042966452,0.0
190.0,-1099.4114184814598,0.0
190.0,-1089.4055326662742,0.0
190.0,-1079.399646851089,0.0
190.0,-1069.3937610359035,0.0
190.0,-1059.3878752207181,0.0
190.0,-1049.3819894055327,0.0
190.0,-1039.3761035903474,0.0
190.0,-1029.370217775162,0.0
190.0,-1019.3643319599764,0.0
190.0,-1009.3584461447911,0.0
190.0,-999.3525603296057,0.0
190.0,-989.3466745144203,0.0
190.0,-979.340788699235,0.0
190.0,-969.3349028840496,0.0
190.0,-959.3290170688642,0.0
190.0,-949.3231312536786,0.0
190.0,-939.3172454384933,0.0
190.0,-929.3113596233079,0.0
190.0,-919.3054738081225,0.0
190.0,-909.2995879929372,0.0
190.0,-899.2937021777518,0.0
190.0,-889.2878163625662,0.0
190.0,-879.2819305473809,0.0
190.0,-869.2760447321955,0.0
190.0,-859.2701589170101,0.0
190.0,-849.2642731018248,0.0
190.0,-839.2583872866394,0.0
190.0,-829.2525014714538,0.0
190.0,-819.2466156562684,0.0
190.0,-809.2407298410831,0.0
190.0,-799.2348440258977,0.0
190.0,-789.2289582107123,0.0
190.0,-779.223072395527,0.0
190.0,-769.2171865803414,0.0
190.0,-759.211300765156,0.0
190.0,-749.2054149499706,0.0
190.0,-739.1995291347853,0.0
190.0,-729.1936433195999,0.0
190.0,-719.1877575044145,0.0
190.0,-709.181871689229,0.0
190.0,-699.1759858740436,0.0
190.0,-689.1701000588582,0.0
190.0,-679.1642142436729,0.0
190.0,-669.1583284284875,0.0
190.0,-659.1524426133021,0.0
