id,Z,formation,dip,azimuth,polarity,X,Y,geometry
1,800,fault,73.3,196,1,219.889,-1053.036,POINT (219.88899519455563 -1053.0358898402328)
2,800,fault,73.3,196,1,279.208,-1071.725,POINT (279.2081361794069 -1071.7254822053228)
3,900,fault,73.3,196,1,353.763,-1071.522,POINT (353.7633578966686 -1071.522334462224)
4,1000,fault,73.3,196,1,415.114,-1065.834,POINT (415.11397631250793 -1065.8341976554575)
5,1000,fault,73.3,196,1,488.247,-1086.555,POINT (488.2471638280779 -1086.5552674515357)
6,900,fault,73.3,196,1,533.752,-1123.122,POINT (533.7522582822104 -1123.1218612093207)
7,800,fault,73.3,196,1,572.757,-1155.626,POINT (572.756624957181 -1155.6255001051297)
8,700,fault,73.3,196,1,634.92,-1196.661,POINT (634.9198343454156 -1196.6613442110884)
9,600,fault,73.3,196,1,671.08,-1229.571,POINT (671.080132617003 -1229.571278593095)
10,600,fault,73.3,196,1,707.24,-1240.948,POINT (707.2404308885904 -1240.9475522066282)
11,700,fault,73.3,196,1,768.591,-1237.697,POINT (768.5910493044297 -1237.6971883170472)
12,800,fault,73.3,196,1,831.567,-1231.196,POINT (831.5668496650594 -1231.1964605378855)
13,900,fault,73.3,196,1,929.89,-1239.322,POINT (929.8903573248813 -1239.3223702618377)
14,1000,fault,73.3,196,1,1003.227,-1237.291,POINT (1003.22669258355 -1237.2908928308493)
17,650,layer,0.0,90,1,747.0,-1176.0,POINT (747.1321631701192 -1175.657764647775)
16,925,layer,0.0,90,1,406.0,-1152.0,POINT (406.4723384289204 -1151.7424753982448)
