id,formation,Z,X,Y,geometry
1,layer,650,957.243,-967.432,POINT (957.2425546331237 -967.43216449267)
2,layer,650,683.973,-974.417,POINT (683.9731781581002 -974.4166852971435)
3,layer,650,980.815,-1129.822,POINT (980.8153123482217 -1129.8222731966778)
4,layer,650,790.487,-1126.33,POINT (790.4871204263202 -1126.330012794441)
5,layer,650,305.936,-942.113,POINT (305.935989615975 -942.1132765764543)
6,layer,650,504.995,-969.178,POINT (504.9948325434684 -969.1782946937888)
7,layer,925,981.688,-1292.212,POINT (981.6883774487812 -1292.2123819006856)
8,layer,925,722.903,-1292.227,POINT (722.9029392550829 -1292.2273516221787)
9,layer,925,400.258,-1162.224,POINT (400.2579844381779 -1162.2238899743418)
10,layer,925,253.709,-1182.906,POINT (253.70862767152508 -1182.9062588728611)
11,layer,925,341.756,-1296.955,POINT (341.75642669665115 -1296.9547502275548)
12,fault,800,279.735,-1071.884,POINT (279.7348199266225 -1071.884259195034)
13,fault,1000,415.308,-1065.881,POINT (415.30807143762553 -1065.881015585691)
14,fault,800,572.893,-1155.93,POINT (572.8932161828873 -1155.9296697258403)
15,fault,600,671.196,-1229.72,POINT (671.1963302858836 -1229.7195390906852)
16,fault,800,832.033,-1231.47,POINT (832.0332319862064 -1231.4704851434103)
17,fault,1000,1002.876,-1237.724,POINT (1002.8755397021014 -1237.7238639031425)
