id,formation,Z,dip,azimuth,X,Y,polarity
1,S_1,458,0,90,437.983,-1870.745,1
2,S_1,458,0,90,1063.247,-2216.556,1
3,S_1,458,0,90,843.190,-1795.672,1
4,S_2,518,0,90,597.974,-2119.078,1
5,S_2,518,0,90,920.168,-2055.520,1
6,S_2,518,0,90,689.597,-1943.779,1
7,S_1,418,0,90,1164.978,-1847.881,1
8,S_1,418,0,90,1341.375,-1369.602,1
9,S_1,418,0,90,988.460,-1472.981,1
10,S_1,418,0,90,644.364,-1329.194,1
11,S_2,478,0,90,693.932,-1129.315,1
12,S_2,478,0,90,836.740,-1577.723,1
13,S_2,478,0,90,857.670,-1290.916,1
14,S_2,478,0,90,1141.045,-1588.793,1
15,P,360,11,340,659.029,-2091.457,1
16,P,380,11,340,715.795,-1779.442,1
17,P,400,11,340,778.740,-1972.747,1
18,M,360,11,340,729.173,-2172.626,1
19,M,360,11,340,786.135,-1828.226,1
20,T,340,11,340,820.841,-2159.625,1
21,T,360,11,340,876.949,-1871.712,1
22,P,360,11,340,896.852,-1597.283,1
23,P,360,11,340,892.392,-1256.029,1
24,P,400,11,340,1014.989,-1447.863,1
25,P,400,11,340,1019.095,-1726.394,1
26,M,360,11,340,970.231,-1749.179,1
27,M,360,11,340,964.214,-1326.218,1
28,M,380,11,340,1029.537,-1659.487,1
29,M,380,11,340,1022.323,-1192.042,1
30,T,360,11,340,1124.754,-1920.177,1
31,T,360,11,340,1119.140,-1394.198,1
32,T,380,11,340,1181.306,-1704.293,1
33,T,380,11,340,1177.437,-1253.135,1
34,fault,340,26,105,567.624,-1527.298,1
35,fault,340,26,105,942.584,-1777.369,1
36,fault,380,26,105,1139.257,-1969.503,1
37,fault,380,26,105,795.839,-1737.868,1
39,fault,420,26,105,517.067,-1612.061,1
40,fault,420,26,105,882.537,-1856.359,1
41,fault,420,26,105,1014.192,-1943.689,1
42,fault,460,26,105,1113.172,-2066.651,1
43,fault,460,26,105,839.070,-1883.427,1
44,fault,460,26,105,557.524,-1695.176,1
