id,formation,Z,dip,azimuth,X,Y,polarity,X_rot,Y_rot
1,S_1,458,0,90,437.983,-1870.745,1,-1608.12626343793,-1051.40186615545
2,S_1,458,0,90,1063.247,-2216.556,1,-1719.22942542814,-1757.23216078213
3,S_1,458,0,90,843.19,-1795.672,1,-1398.9917631011,-1406.49541572636
4,S_2,518,0,90,597.974,-2119.078,1,-1786.76280628474,-1286.6791165001
5,S_2,518,0,90,920.168,-2055.52,1,-1616.84098463416,-1567.70432449211
6,S_2,518,0,90,689.597,-1943.779,1,-1590.69871796166,-1312.82078438953
7,S_1,418,0,90,1164.978,-1847.881,1,-1337.99419725923,-1726.73375444671
8,S_1,418,0,90,1341.375,-1369.602,1,-828.227623060153,-1728.91166154582
9,S_1,418,0,90,988.46,-1472.981,1,-1046.07614538616,-1432.63774067803
10,S_1,418,0,90,644.364,-1329.194,1,-1028.648325759,-1060.11521828771
11,S_2,478,0,90,693.932,-1129.315,1,-823.87024994457,-1038.33125788703
12,S_2,478,0,90,836.74,-1577.723,1,-1196.39272601789,-1325.89145010461
13,S_2,478,0,90,857.67,-1290.916,1,-919.723822928335,-1247.46544541085
14,S_2,478,0,90,1141.045,-1588.793,1,-1102.71668361527,-1615.63077605948
15,P,360,11,340,659.029,-2091.457,1,-1739.92551655526,-1334.60511108339
16,P,380,11,340,715.795,-1779.442,1,-1427.31220802472,-1281.23228737516
17,P,400,11,340,778.74,-1972.747,1,-1587.43103216411,-1406.4954431961
18,M,360,11,340,729.173,-2172.626,1,-1792.2087659584,-1428.2803432894
19,M,360,11,340,786.135,-1828.226,1,-1449.09647595561,-1364.01537699324
20,T,340,11,340,820.841,-2159.625,1,-1748.63951969718,-1509.97348256822
21,T,360,11,340,876.949,-1871.712,1,-1458.89973196713,-1464.22571060996
22,P,360,11,340,896.852,-1597.283,1,-1194.21359882487,-1389.06816692874
23,P,360,11,340,892.392,-1256.029,1,-875.065143050423,-1268.16139584957
24,P,400,11,340,1014.989,-1447.863,1,-1013.39949375497,-1448.9759842548
25,P,400,11,340,1019.095,-1726.394,1,-1273.7286844066,-1548.09757469639
26,M,360,11,340,970.231,-1749.179,1,-1311.85205305467,-1509.97336343998
27,M,360,11,340,964.214,-1326.218,1,-916.456657676829,-1359.65805109955
28,M,380,11,340,1029.537,-1659.487,1,-1207.28529589107,-1535.02630331315
29,M,380,11,340,1022.323,-1192.042,1,-770.498012081748,-1368.37175484993
30,T,360,11,340,1124.754,-1920.177,1,-1419.6876332167,-1713.66224675009
31,T,360,11,340,1119.14,-1394.198,1,-927.349149312983,-1528.4913994107
32,T,380,11,340,1181.306,-1704.293,1,-1197.48110832561,-1692.96706721905
33,T,380,11,340,1177.437,-1253.135,1,-774.854540851604,-1535.02627264671
34,fault,340,26,105,567.624,-1527.298,1,-1241.05181850599,-1055.75876504199
35,fault,340,26,105,942.584,-1777.369,1,-1347.79781893715,-1493.63522939347
36,fault,380,26,105,1139.257,-1969.503,1,-1461.07859329094,-1744.16109441903
37,fault,380,26,105,795.839,-1737.868,1,-1360.86876665581,-1342.22989807473
39,fault,420,26,105,517.067,-1612.061,1,-1337.99449650778,-1037.24137862163
40,fault,420,26,105,882.537,-1856.359,1,-1442.5614225993,-1464.22567771443
41,fault,420,26,105,1014.192,-1943.689,1,-1479.59611720299,-1617.80952882063
42,fault,460,26,105,1113.172,-2066.651,1,-1561.2894474537,-1752.87578528963
43,fault,460,26,105,839.07,-1883.427,1,-1482.86361202867,-1432.63785980627
44,fault,460,26,105,557.524,-1695.176,1,-1402.25993974587,-1103.68552719328
