id,formation,Z,X,Y
1,S_1,458,386.859,-2037.048
2,S_1,458,487.098,-1709.243
3,S_1,458,677.916,-2133.448
4,S_1,458,764.068,-1802.423
5,S_1,458,995.628,-2188.053
6,S_2,518,527.258,-2086.241
7,S_2,518,627.496,-1758.437
8,S_2,518,853.378,-2185.867
9,S_2,518,929.543,-1971.365
10,S_1,478,574.296,-1464.426
11,S_1,478,687.538,-1179.499
12,S_1,478,836.704,-1613.338
13,S_1,478,962.973,-1287.379
14,S_1,478,1150.218,-1883.845
15,S_1,478,1263.608,-1614.230
16,S_1,478,1340.844,-1402.025
17,S_2,518,700.757,-1525.712
18,S_2,518,801.906,-1226.848
20,S_2,518,1006.953,-1690.562
21,S_2,518,1139.351,-1347.761
22,S_2,518,1204.000,-1762.281
23,S_2,518,1295.948,-1509.657
24,P,360,661.062,-2169.273
25,P,360,659.285,-1964.548
26,P,360,656.118,-1800.324
27,P,380,720.200,-2059.196
28,P,380,717.342,-1883.640
29,P,380,715.856,-1730.518
30,P,400,782.173,-2198.096
31,P,400,779.480,-1985.408
32,P,400,778.993,-1816.438
33,M,360,728.484,-2141.079
34,M,360,725.929,-1969.754
35,M,360,724.958,-1790.891
36,M,380,788.622,-2071.394
37,M,380,785.691,-1913.842
38,M,380,784.524,-1767.364
39,T,340,821.240,-2227.001
40,T,340,819.419,-2091.877
41,T,340,818.151,-1974.341
42,T,340,815.769,-1847.126
43,T,360,880.723,-2168.670
44,T,360,879.086,-2039.408
45,T,360,877.826,-1896.374
46,T,360,876.373,-1772.975
47,P,360,898.086,-1671.918
48,P,360,895.899,-1512.319
49,P,360,893.531,-1340.482
50,P,360,891.762,-1184.512
51,P,400,1020.188,-1806.194
52,P,400,1017.085,-1598.156
53,P,400,1014.997,-1422.364
54,P,400,1013.796,-1232.986
55,M,360,971.296,-1766.954
56,M,360,969.016,-1610.798
57,M,360,966.641,-1458.085
58,M,360,963.428,-1310.863
59,M,360,961.787,-1194.350
60,M,380,1031.193,-1882.646
61,M,380,1029.285,-1725.466
62,M,380,1027.197,-1549.675
63,M,380,1025.850,-1384.585
64,M,380,1024.495,-1244.994
65,T,360,1125.522,-1999.279
66,T,360,1124.175,-1834.189
67,T,360,1121.627,-1637.365
68,T,360,1119.719,-1480.186
69,T,360,1117.525,-1346.085
70,T,360,1115.422,-1221.290
71,T,380,1185.385,-1914.425
72,T,380,1182.089,-1732.398
73,T,380,1180.929,-1560.422
74,T,380,1178.555,-1407.709
75,T,380,1177.941,-1278.820
76,fault,340,500.448,-1482.562
77,fault,340,632.428,-1570.590
78,fault,340,758.314,-1654.660
79,fault,340,890.620,-1743.386
80,fault,340,1000.968,-1816.006
81,fault,340,1049.350,-1848.684
82,fault,340,1164.722,-1926.610
83,fault,380,1179.684,-1996.968
84,fault,380,1090.364,-1936.639
85,fault,380,945.218,-1838.603
86,fault,380,806.120,-1746.246
87,fault,380,672.791,-1657.148
88,fault,380,525.924,-1559.065
89,fault,420,460.591,-1572.959
90,fault,420,586.477,-1657.029
91,fault,420,711.340,-1740.728
92,fault,420,842.995,-1828.057
93,fault,420,952.970,-1901.700
94,fault,420,1081.554,-1987.912
95,fault,460,1141.271,-2084.992
96,fault,460,1045.158,-2021.031
97,fault,460,897.593,-1923.274
98,fault,460,760.542,-1831.662
99,fault,460,628.236,-1742.937
100,fault,460,478.996,-1643.411
