id,formation,Z,X,Y,X_rot,Y_rot
1,S_1,458,386.859,-2037.048,-1781.885403159868,-1060.2399965058828
2,S_1,458,487.098,-1709.243,-1439.5657064563215,-1042.3179320379706
3,S_1,458,677.916,-2133.448,-1772.9244149476904,-1366.7148534505613
4,S_1,458,764.068,-1802.423,-1432.3969457642422,-1334.4540341721295
5,S_1,458,995.628,-2188.053,-1715.57242672942,-1683.942485311992
6,S_2,518,527.258,-2086.241,-1780.0924161514085,-1208.996897682223
7,S_2,518,627.496,-1758.437,-1437.7740011606263,-1191.0742355418333
8,S_2,518,853.378,-2185.867,-1762.1706240484586,-1549.5235539718867
9,S_2,518,929.543,-1971.365,-1534.55471328824,-1547.7312376504026
10,S_1,478,574.296,-1464.426,-1179.6895056556662,-1040.5249037567
11,S_1,478,687.538,-1179.499,-873.2146612225143,-1049.486802142385
12,S_1,478,836.704,-1613.338,-1229.8721914323353,-1338.0386685748003
13,S_1,478,962.973,-1287.379,-880.3843829759925,-1345.2081722105245
14,S_1,478,1150.218,-1883.845,-1376.8375199886652,-1725.1643037984704
15,S_1,478,1263.608,-1614.23,-1084.7006299837751,-1739.5022891266344
16,S_1,478,1340.844,-1402.025,-858.8768896000001,-1739.5020038712314
17,S_2,518,700.757,-1525.712,-1194.027298268044,-1180.3204187777635
18,S_2,518,801.906,-1226.848,-878.5920073722363,-1173.1518795627546
20,S_2,518,1006.953,-1690.562,-1244.2104269988545,-1524.432561119162
21,S_2,518,1139.351,-1347.761,-876.8000739647924,-1531.6011375737924
22,S_2,518,1204.0,-1762.281,-1244.2101988871061,-1734.1255156263364
23,S_2,518,1295.948,-1509.657,-975.373222115178,-1734.1258760348555
24,P,360,661.062,-2169.273,-1812.3533105829565,-1363.1301456544777
25,P,360,659.285,-1964.548,-1620.5825085872511,-1291.4402380249935
26,P,360,656.118,-1800.324,-1467.3456054252185,-1232.29631547745
27,P,380,720.2,-2059.196,-1688.6883787287125,-1381.053136545655
28,P,380,717.342,-1883.64,-1524.6971945636465,-1318.323806753768
29,P,380,715.856,-1730.518,-1381.3178230166486,-1264.556615132967
30,P,400,782.173,-2198.096,-1798.0156694135535,-1486.7953052415555
31,P,400,779.48,-1985.408,-1599.0753855298162,-1411.5211327701293
32,P,400,778.993,-1816.438,-1440.462087205421,-1353.2723588460685
33,M,360,728.484,-2141.079,-1762.7999347292155,-1416.8431856121815
34,M,360,725.929,-1969.754,-1602.6809579392666,-1355.845669910803
35,M,360,724.958,-1790.891,-1434.936818266806,-1293.7584794803608
36,M,380,788.622,-2071.394,-1676.74904707043,-1449.5207467533548
37,M,380,785.691,-1913.842,-1529.7010563204565,-1392.8805500605858
38,M,380,784.524,-1767.364,-1392.455898120239,-1341.6855022180712
39,T,340,821.24,-2227.001,-1811.8157836780665,-1533.3923691006273
40,T,340,819.419,-2091.877,-1685.4635766679874,-1485.4660589914383
41,T,340,818.151,-1974.341,-1575.4495463330318,-1444.074849182356
42,T,340,815.769,-1847.126,-1456.721241561154,-1398.3264088264689
43,T,360,880.723,-2168.67,-1736.6581892295628,-1569.3377282825056
44,T,360,879.086,-2039.408,-1615.7515286561588,-1523.5892436957167
45,T,360,877.826,-1896.374,-1481.7744797152575,-1473.4847218130826
46,T,360,876.373,-1772.975,-1366.3143052711494,-1429.9144047688364
47,P,360,898.086,-1671.918,-1263.9255047203576,-1415.754421019899
48,P,360,895.899,-1512.319,-1114.6995001890007,-1359.1132404036066
49,P,360,893.531,-1340.482,-954.0354430104078,-1298.1163329089325
50,P,360,891.762,-1184.512,-808.0766185799727,-1243.1091349082578
51,P,400,1020.188,-1806.194,-1348.3423275286555,-1576.4178661682972
52,P,400,1017.085,-1598.156,-1153.9118425903362,-1502.3488133888131
53,P,400,1014.997,-1422.364,-989.4355354564038,-1440.262330161106
54,P,400,1013.796,-1232.986,-811.8891925093443,-1374.362668620814
55,M,360,971.296,-1766.954,-1328.190837936495,-1517.0535441287334
56,M,360,969.016,-1610.798,-1182.2320029718333,-1461.5025474521783
57,M,360,966.641,-1458.085,-1039.5410216141534,-1407.039855330119
58,M,360,963.428,-1310.863,-902.2965053173157,-1353.6677333988423
59,M,360,961.787,-1194.35,-793.3713540468844,-1312.275904848829
60,M,380,1031.193,-1882.646,-1416.4197760956806,-1612.9073074575801
61,M,380,1029.285,-1725.466,-1269.3714643940168,-1557.355647809192
62,M,380,1027.197,-1549.675,-1104.8960969527054,-1495.2695066016283
63,M,380,1025.85,-1384.585,-950.2229433202195,-1437.5396351797951
64,M,380,1024.495,-1244.994,-819.5137479863,-1388.5234178516566
65,T,360,1125.522,-1999.279,-1493.7565274360365,-1741.4384080601967
66,T,360,1124.175,-1834.189,-1339.0833738035508,-1683.7085366383637
67,T,360,1121.627,-1637.365,-1155.000780735179,-1613.9964271506697
68,T,360,1119.719,-1480.186,-1007.9534087261358,-1558.445109522425
69,T,360,1117.525,-1346.085,-882.6900807805814,-1510.518180672305
70,T,360,1115.422,-1221.29,-766.1404085310178,-1465.8596033044655
71,T,380,1185.385,-1914.425,-1393.5454979519645,-1768.6694501765476
72,T,380,1182.089,-1732.398,-1223.6233676605693,-1703.3153226692955
73,T,380,1180.929,-1560.422,-1062.4155328745499,-1643.406023060609
74,T,380,1178.555,-1407.709,-919.7242094967266,-1588.9442706311702
75,T,380,1177.941,-1278.82,-798.8181676642536,-1544.2846651089055
76,fault,340,500.448,-1482.562,-1221.9892745705533,-977.3333604162564
77,fault,340,632.428,-1570.59,-1259.5687180769735,-1131.4613416842526
78,fault,340,758.314,-1654.66,-1295.51312894375,-1278.5091203938964
79,fault,340,890.62,-1743.386,-1333.6369793327544,-1433.18217151631
80,fault,340,1000.968,-1816.006,-1364.1362186785261,-1561.7128756431036
81,fault,340,1049.35,-1848.684,-1378.2958755661855,-1618.3536182655637
82,fault,340,1164.722,-1926.61,-1412.062814757779,-1753.4200969996714
83,fault,380,1179.684,-1996.968,-1473.0604027865957,-1791.5436312359777
84,fault,380,1090.364,-1936.639,-1446.918925869051,-1686.976553120686
85,fault,380,945.218,-1838.603,-1404.4380758208315,-1517.0536412130193
86,fault,380,806.12,-1746.246,-1365.2252023392211,-1354.7563226698123
87,fault,380,672.791,-1657.148,-1327.1016729019063,-1198.9947345030175
88,fault,380,525.924,-1559.065,-1285.165273967173,-1027.438536648242
89,fault,420,460.591,-1572.959,-1320.5665652642685,-970.797626525803
90,fault,420,586.477,-1657.029,-1356.5109761310446,-1117.8454052354468
91,fault,420,711.34,-1740.728,-1392.4566476421314,-1263.804988920853
92,fault,420,842.995,-1828.057,-1429.490402553203,-1417.388498006909
93,fault,420,952.97,-1901.7,-1461.0785209634992,-1545.9185833927716
94,fault,420,1081.554,-1987.912,-1498.1129830773061,-1696.2342599402994
95,fault,460,1141.271,-2084.992,-1568.9139258042235,-1785.5531996898274
96,fault,460,1045.158,-2021.031,-1541.6828281215958,-1673.360572440978
97,fault,460,897.593,-1923.274,-1500.2914990412798,-1501.259967703618
98,fault,460,760.542,-1831.662,-1461.0785813287675,-1341.1410049619376
99,fault,460,628.236,-1742.937,-1422.9556706323838,-1186.468295859667
100,fault,460,478.996,-1643.411,-1380.4749090459684,-1012.1886723489476
101,fault,500,1072.874,-2101.695,-1608.0027633922562,-1726.9938059599021
102,fault,500,866.023,-1962.676,-1548.1148436102776,-1485.0701493527251
103,fault,500,685.103,-1842.56,-1497.1210091024375,-1273.9788688644326
104,fault,500,551.186,-1752.803,-1458.5793300723005,-1117.4393501621641
105,fault,540,413.705,-1724.849,-1479.3324338754073,-978.6886378773708
106,fault,540,582.469,-1836.754,-1526.7680491362412,-1175.5486874705427
107,fault,540,747.181,-1945.923,-1573.0185310073605,-1367.6653354521513
108,fault,540,917.895,-2058.539,-1620.4553284420883,-1566.6009619777603
109,fault,540,1093.294,-2174.752,-1669.6698358623019,-1771.1692948872937
