formation,X,Y,Z
A,400.0,0.0,100
A,350.0,0.0,150
A,300.0,0.0,100
A,400.0,100.0,0
A,350.0,100.0,50
A,300.0,100.0,0
B,400.0,0.0,130
B,350.0,0.0,180
B,300.0,0.0,130
B,400.0,100.0,30
B,350.0,100.0,80
B,300.0,100.0,30
fault,125.0,250.0,500
fault,375.0,250.0,500
fault,125.0,116.0,0
fault,375.0,116.0,0
A,200.0,500.0,200
A,150.0,500.0,250
A,100.0,500.0,200
A,200.0,300.0,300
A,150.0,300.0,350
A,100.0,300.0,300
B,200.0,500.0,230
B,150.0,500.0,280
B,100.0,500.0,230
B,200.0,300.0,330
B,150.0,300.0,380
B,100.0,300.0,330
nan,,,_
